time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16;bp17;bp18;bp19;bp20;bp21;bp22;bp23;bp24;bp25;bp26;bp27;bp28;bp29;bp30;bp31;bp32
0.42;videos/cuts_test/50wtf1.mp4;walk;(650.64, 108.25);(657.33, 97.9);(661.06, 98.02);(663.93, 98.25);(644.04, 98.13);(639.77, 98.34);(635.67, 98.69);(670.49, 104.27);(630.7, 105.83);(658.52, 120.76);(642.66, 121.57);(705.42, 175.57);(600.29, 176.13);(716.69, 253.95);(585.65, 258.62);(710.84, 323.57);(592.38, 327.32);(711.9, 349.63);(591.07, 351.91);(704.47, 347.83);(599.6, 349.02);(701.98, 341.72);(602.96, 342.7);(681.36, 328.82);(622.08, 329.02);(681.85, 451.35);(625.92, 449.36);(677.32, 557.1);(633.4, 557.84);(670.09, 569.48);(638.32, 571.14);(686.43, 594.43);(625.4, 588.57)
0.46;videos/cuts_test/50wtf1.mp4;walk;(650.52, 108.14);(657.25, 97.82);(661.04, 97.96);(663.9, 98.19);(643.98, 98.01);(639.74, 98.19);(635.62, 98.53);(670.48, 104.25);(630.71, 105.73);(658.43, 120.71);(642.62, 121.45);(705.41, 175.61);(600.28, 176.06);(716.65, 253.93);(585.7, 258.48);(710.71, 323.7);(592.37, 327.26);(711.78, 349.71);(591.04, 351.91);(704.37, 347.92);(599.61, 349.02);(701.89, 341.85);(602.99, 342.69);(681.31, 328.83);(622.02, 328.99);(681.82, 451.35);(625.92, 449.36);(677.34, 556.93);(633.41, 557.86);(670.1, 569.22);(638.32, 571.14);(686.31, 594.4);(625.41, 588.67)
0.5;videos/cuts_test/50wtf1.mp4;walk;(650.37, 108.02);(657.15, 97.72);(661.01, 97.88);(663.85, 98.12);(643.9, 97.86);(639.68, 97.99);(635.55, 98.31);(670.44, 104.2);(630.7, 105.54);(658.28, 120.65);(642.54, 121.29);(705.35, 175.63);(600.22, 175.95);(716.62, 253.88);(585.72, 258.37);(710.55, 323.76);(592.34, 327.21);(711.61, 349.77);(590.99, 351.9);(704.25, 347.98);(599.62, 349.02);(701.78, 341.92);(603.0, 342.69);(681.21, 328.82);(621.95, 328.96);(681.81, 451.35);(625.89, 449.39);(677.34, 556.82);(633.43, 557.91);(670.11, 569.09);(638.33, 571.16);(686.25, 594.35);(625.43, 588.76)
0.54;videos/cuts_test/50wtf1.mp4;walk;(650.27, 107.88);(657.07, 97.62);(660.98, 97.79);(663.81, 98.05);(643.81, 97.71);(639.61, 97.8);(635.44, 98.09);(670.37, 104.17);(630.68, 105.38);(658.17, 120.61);(642.46, 121.17);(705.2, 175.64);(600.06, 175.94);(716.58, 253.9);(585.72, 258.36);(710.4, 323.86);(592.29, 327.21);(711.44, 349.82);(590.93, 351.91);(704.11, 348.02);(599.62, 349.03);(701.65, 341.98);(603.0, 342.69);(681.12, 328.81);(621.89, 328.91);(681.8, 451.36);(625.89, 449.49);(677.31, 556.64);(633.46, 557.96);(670.1, 568.8);(638.33, 571.17);(685.9, 594.04);(625.58, 588.89)
0.58;videos/cuts_test/50wtf1.mp4;walk;(650.03, 107.84);(656.83, 97.57);(660.87, 97.75);(663.68, 98.02);(643.58, 97.64);(639.42, 97.72);(635.2, 98.01);(670.23, 104.16);(630.62, 105.33);(657.97, 120.6);(642.27, 121.15);(705.02, 175.64);(599.83, 175.94);(716.47, 254.08);(585.66, 258.4);(710.16, 323.98);(592.26, 327.23);(711.25, 349.86);(590.89, 351.93);(703.98, 348.05);(599.63, 349.06);(701.5, 342.03);(603.02, 342.72);(681.03, 328.81);(621.81, 328.91);(681.78, 451.39);(625.9, 449.65);(677.29, 556.54);(633.51, 558.06);(670.08, 568.67);(638.35, 571.21);(685.87, 593.78);(625.67, 589.05)
0.63;videos/cuts_test/50wtf1.mp4;walk;(649.85, 107.82);(656.62, 97.51);(660.76, 97.69);(663.56, 97.96);(643.33, 97.57);(639.17, 97.63);(634.88, 97.93);(670.08, 104.13);(630.49, 105.27);(657.82, 120.6);(642.09, 121.15);(704.86, 175.64);(599.5, 175.95);(716.37, 254.29);(585.53, 258.45);(709.98, 324.1);(592.25, 327.25);(711.12, 349.91);(590.88, 351.96);(703.88, 348.08);(599.65, 349.08);(701.39, 342.09);(603.06, 342.73);(681.01, 328.86);(621.76, 328.95);(681.74, 451.45);(625.92, 449.84);(677.29, 556.41);(633.54, 558.12);(670.05, 568.5);(638.36, 571.23);(685.88, 593.6);(625.77, 589.18)
0.67;videos/cuts_test/50wtf1.mp4;walk;(649.55, 107.79);(656.28, 97.44);(660.55, 97.61);(663.36, 97.89);(642.98, 97.51);(638.79, 97.55);(634.47, 97.87);(669.78, 104.09);(630.32, 105.23);(657.61, 120.6);(641.82, 121.14);(704.49, 175.63);(599.07, 175.94);(716.23, 254.32);(585.31, 258.44);(709.83, 324.16);(592.23, 327.25);(711.0, 349.95);(590.86, 351.97);(703.8, 348.11);(599.66, 349.11);(701.31, 342.13);(603.09, 342.76);(680.92, 328.86);(621.66, 328.95);(681.68, 451.42);(625.93, 449.81);(677.32, 555.62);(633.64, 558.11);(670.08, 567.66);(638.45, 571.24);(685.89, 593.02);(625.81, 589.21)
0.71;videos/cuts_test/50wtf1.mp4;walk;(648.87, 107.81);(655.64, 97.43);(660.11, 97.6);(663.01, 97.88);(642.34, 97.51);(638.12, 97.55);(633.84, 97.87);(669.28, 104.11);(629.99, 105.23);(657.03, 120.71);(641.09, 121.18);(703.95, 175.63);(598.55, 175.95);(716.09, 254.39);(585.05, 258.4);(709.67, 324.38);(592.22, 327.25);(710.91, 350.06);(590.86, 352.01);(703.74, 348.22);(599.68, 349.13);(701.23, 342.27);(603.12, 342.76);(680.77, 328.86);(621.44, 328.95);(681.67, 451.46);(626.09, 449.87);(677.42, 555.63);(633.8, 558.08);(670.1, 567.7);(638.57, 571.22);(686.35, 593.05);(625.92, 589.17)
0.75;videos/cuts_test/50wtf1.mp4;walk;(648.52, 107.81);(655.27, 97.43);(659.83, 97.6);(662.73, 97.88);(641.93, 97.51);(637.68, 97.54);(633.37, 97.87);(668.62, 104.11);(629.52, 105.22);(656.61, 120.76);(640.56, 121.19);(703.26, 175.74);(597.91, 175.97);(716.06, 254.49);(584.98, 258.35);(709.43, 324.66);(592.22, 327.25);(710.79, 350.22);(590.86, 352.04);(703.67, 348.34);(599.74, 349.15);(701.15, 342.39);(603.21, 342.77);(680.49, 328.91);(621.17, 328.97);(681.63, 451.77);(626.43, 450.1);(677.47, 556.15);(634.0, 558.07);(670.09, 568.88);(638.69, 571.22);(687.83, 593.88);(626.2, 589.13)
0.79;videos/cuts_test/50wtf1.mp4;walk;(648.37, 107.87);(655.09, 97.46);(659.67, 97.63);(662.48, 97.93);(641.68, 97.52);(637.38, 97.54);(633.0, 97.88);(668.03, 104.19);(629.01, 105.23);(656.31, 120.98);(640.14, 121.35);(702.3, 175.97);(597.22, 176.02);(715.85, 254.53);(584.77, 258.06);(709.14, 324.71);(592.17, 327.21);(710.54, 350.27);(590.86, 352.04);(703.47, 348.35);(599.77, 349.15);(700.94, 342.39);(603.26, 342.77);(680.44, 329.13);(621.12, 329.14);(681.62, 452.47);(626.69, 450.67);(677.58, 556.79);(634.28, 558.09);(670.1, 569.86);(638.95, 571.25);(689.47, 595.25);(626.64, 589.15)
0.83;videos/cuts_test/50wtf1.mp4;walk;(647.8, 108.27);(654.36, 97.86);(658.99, 98.04);(661.87, 98.39);(641.04, 97.93);(636.58, 97.97);(632.19, 98.32);(666.84, 104.64);(628.15, 105.43);(655.57, 121.44);(639.25, 121.82);(700.83, 176.0);(596.42, 176.27);(714.82, 254.53);(584.13, 258.09);(708.42, 324.74);(592.15, 327.33);(709.98, 350.28);(590.86, 352.17);(702.98, 348.35);(599.83, 349.28);(700.25, 342.39);(603.31, 342.89);(680.38, 329.35);(621.11, 329.53);(681.62, 453.03);(627.29, 451.48);(677.76, 557.52);(634.83, 558.08);(670.2, 570.59);(639.47, 571.22);(690.04, 596.54);(627.38, 589.43)
0.88;videos/cuts_test/50wtf1.mp4;walk;(646.65, 108.78);(653.25, 98.44);(657.89, 98.63);(660.93, 99.01);(640.02, 98.47);(635.43, 98.51);(631.17, 98.83);(665.27, 105.13);(626.9, 105.6);(654.17, 121.92);(637.83, 122.15);(698.76, 176.08);(594.57, 176.62);(713.29, 255.01);(583.66, 258.57);(708.02, 325.06);(592.11, 327.8);(709.81, 350.38);(590.86, 352.45);(702.86, 348.42);(599.84, 349.48);(700.09, 342.47);(603.31, 343.09);(680.39, 329.46);(621.1, 330.22);(681.64, 453.08);(627.69, 451.96);(678.03, 557.51);(635.32, 558.08);(670.55, 570.55);(639.95, 571.22);(689.98, 596.53);(628.22, 589.68)
0.92;videos/cuts_test/50wtf1.mp4;walk;(644.82, 110.12);(651.62, 99.8);(656.36, 99.97);(659.47, 100.24);(638.22, 99.89);(633.42, 100.1);(629.43, 100.27);(663.72, 106.11);(624.98, 106.48);(652.28, 123.19);(635.85, 123.36);(696.88, 176.81);(592.31, 177.47);(712.28, 257.03);(583.14, 259.47);(707.8, 325.59);(592.06, 328.41);(709.78, 350.58);(590.86, 353.05);(702.84, 348.59);(599.84, 349.9);(700.06, 342.66);(603.31, 343.48);(680.32, 329.67);(621.08, 330.95);(681.76, 453.15);(628.15, 452.44);(678.69, 557.65);(635.55, 558.0);(671.4, 570.54);(640.09, 571.01);(689.89, 596.5);(629.37, 589.66)
0.96;videos/cuts_test/50wtf1.mp4;walk;(642.12, 111.64);(649.07, 101.77);(653.81, 101.83);(657.24, 101.95);(635.55, 101.86);(630.6, 102.21);(627.02, 102.24);(661.27, 107.46);(622.44, 108.09);(649.63, 124.45);(632.89, 124.65);(694.19, 177.31);(589.63, 179.32);(710.24, 257.6);(581.58, 260.73);(707.8, 325.66);(591.73, 328.63);(709.96, 350.71);(590.83, 353.37);(702.99, 348.78);(599.78, 349.99);(700.19, 342.79);(603.18, 343.52);(680.32, 329.69);(621.04, 332.0);(681.95, 453.09);(628.76, 453.89);(679.69, 557.59);(636.36, 557.69);(673.0, 570.04);(641.39, 570.27);(689.86, 596.48);(631.54, 589.26)
1.0;videos/cuts_test/50wtf1.mp4;fall;(638.83, 113.28);(645.62, 103.54);(650.1, 103.54);(654.01, 103.62);(632.54, 103.62);(627.71, 104.0);(624.29, 104.1);(657.81, 109.13);(619.46, 109.92);(646.13, 125.64);(629.92, 125.88);(690.47, 178.02);(586.6, 181.07);(707.91, 257.92);(579.14, 262.13);(707.95, 325.74);(591.3, 329.25);(710.98, 350.77);(590.8, 353.71);(703.91, 348.94);(599.78, 350.14);(701.04, 342.94);(603.15, 343.61);(680.32, 329.66);(621.01, 332.71);(682.71, 452.09);(629.88, 454.4);(681.11, 557.39);(637.72, 556.56);(674.65, 569.5);(643.23, 568.92);(690.04, 595.7);(634.18, 587.78)
1.04;videos/cuts_test/50wtf1.mp4;fall;(636.59, 115.79);(643.11, 105.98);(647.26, 106.08);(650.9, 106.28);(630.47, 106.05);(625.78, 106.31);(621.8, 106.58);(653.8, 111.82);(616.39, 112.11);(643.37, 127.38);(627.46, 127.71);(686.24, 180.06);(582.55, 183.8);(706.18, 259.02);(575.87, 264.25);(708.1, 325.92);(590.17, 333.06);(711.97, 350.78);(590.5, 356.44);(705.02, 348.96);(599.5, 352.35);(701.99, 342.96);(602.54, 345.69);(680.0, 331.51);(621.0, 337.2);(685.08, 452.17);(630.75, 456.12);(683.17, 557.39);(638.42, 555.74);(676.23, 569.5);(644.05, 567.9);(693.29, 596.23);(634.82, 587.77)
1.08;videos/cuts_test/50wtf1.mp4;fall;(632.22, 122.64);(638.1, 113.04);(642.09, 113.02);(645.89, 113.17);(625.9, 112.57);(621.69, 112.61);(617.89, 112.84);(648.97, 118.07);(612.22, 117.58);(639.08, 134.05);(623.7, 133.85);(680.76, 183.24);(577.73, 188.44);(704.19, 260.54);(570.59, 267.85);(708.56, 326.44);(589.23, 337.24);(713.92, 350.8);(590.37, 359.94);(706.84, 349.11);(599.22, 355.48);(703.35, 343.03);(601.88, 348.63);(680.01, 336.53);(621.08, 344.17);(689.87, 452.53);(631.63, 458.04);(686.31, 556.03);(638.44, 553.8);(678.72, 568.14);(644.52, 565.54);(698.43, 595.18);(631.36, 586.54)
1.13;videos/cuts_test/50wtf1.mp4;fall;(627.54, 132.42);(632.89, 121.95);(636.82, 122.14);(640.41, 122.5);(620.86, 121.31);(616.49, 121.18);(612.43, 121.2);(642.98, 127.19);(605.89, 125.86);(633.68, 142.94);(618.84, 143.37);(674.36, 190.81);(571.45, 196.69);(701.15, 265.18);(565.96, 275.65);(708.71, 328.33);(587.63, 344.45);(715.6, 351.27);(589.95, 366.1);(708.77, 350.14);(598.33, 361.01);(704.68, 343.96);(600.31, 353.94);(679.83, 342.22);(621.54, 351.88);(697.75, 454.64);(635.93, 463.24);(688.71, 557.35);(640.58, 553.28);(680.92, 570.91);(646.88, 565.41);(706.61, 597.28);(631.29, 585.7)
1.17;videos/cuts_test/50wtf1.mp4;fall;(621.18, 141.51);(627.06, 132.12);(630.8, 132.36);(633.79, 132.76);(614.66, 130.51);(610.25, 129.96);(605.65, 129.75);(635.99, 136.13);(599.17, 134.3);(626.49, 152.41);(611.67, 152.7);(665.69, 199.76);(564.43, 206.02);(696.58, 271.72);(560.55, 286.9);(708.84, 332.41);(585.46, 353.29);(717.51, 353.6);(589.25, 374.57);(711.11, 353.13);(597.1, 369.44);(706.4, 346.5);(598.24, 362.0);(679.59, 348.93);(622.23, 360.5);(707.26, 459.76);(643.67, 470.51);(692.11, 561.44);(641.68, 551.28);(685.12, 575.27);(646.84, 561.73);(716.4, 600.51);(635.56, 583.97)
1.21;videos/cuts_test/50wtf1.mp4;fall;(614.9, 154.3);(620.71, 144.56);(624.0, 144.78);(626.21, 145.18);(608.4, 143.59);(603.68, 143.01);(599.14, 142.32);(628.12, 148.38);(591.52, 145.86);(619.83, 166.49);(605.02, 165.45);(656.5, 209.25);(556.06, 217.59);(691.14, 278.85);(554.07, 301.22);(708.84, 338.79);(582.66, 364.64);(718.51, 358.56);(588.22, 386.89);(712.47, 358.69);(595.53, 381.74);(707.47, 352.39);(595.94, 373.58);(678.78, 355.72);(624.25, 369.24);(713.82, 465.89);(653.66, 477.69);(692.88, 566.49);(646.92, 541.71);(684.18, 581.79);(649.51, 548.41);(720.81, 602.74);(640.42, 580.51)
1.25;videos/cuts_test/50wtf1.mp4;fall;(606.56, 167.79);(612.27, 159.38);(615.17, 159.52);(616.93, 159.62);(600.35, 157.36);(595.27, 156.81);(591.29, 156.41);(617.59, 161.88);(582.5, 159.46);(610.91, 180.19);(597.01, 178.98);(644.93, 221.25);(546.69, 232.4);(682.91, 286.99);(550.04, 315.22);(708.65, 343.3);(581.59, 378.02);(719.1, 361.81);(587.85, 400.49);(713.78, 362.18);(594.84, 396.11);(708.58, 356.41);(594.8, 387.88);(676.87, 361.04);(625.61, 376.95);(723.97, 468.86);(664.94, 481.6);(692.71, 566.22);(662.74, 528.28);(683.4, 581.15);(652.86, 526.57);(718.29, 602.22);(661.49, 568.29)
1.29;videos/cuts_test/50wtf1.mp4;fall;(598.61, 186.49);(602.34, 176.5);(604.62, 176.94);(606.55, 177.4);(592.4, 175.46);(587.78, 174.95);(583.21, 174.05);(606.3, 180.5);(572.34, 176.4);(601.74, 197.3);(589.13, 196.23);(633.47, 235.01);(535.99, 250.65);(673.1, 299.39);(545.26, 331.3);(707.26, 350.9);(579.15, 393.31);(719.21, 367.22);(585.69, 416.44);(714.82, 367.92);(593.91, 411.15);(709.22, 362.94);(593.86, 402.5);(675.54, 369.9);(626.8, 386.94);(734.94, 472.56);(671.39, 492.3);(693.34, 564.47);(678.92, 523.85);(683.5, 577.04);(664.49, 527.23);(721.87, 601.94);(677.02, 563.93)
1.33;videos/cuts_test/50wtf1.mp4;fall;(585.99, 205.58);(589.41, 196.42);(591.85, 196.77);(593.7, 197.22);(579.64, 194.88);(575.4, 194.52);(571.07, 194.11);(593.26, 200.59);(559.95, 197.04);(588.98, 216.68);(576.85, 216.08);(620.94, 250.34);(524.3, 271.47);(663.46, 312.86);(539.17, 352.32);(704.45, 360.61);(578.56, 415.02);(718.95, 374.17);(585.06, 435.61);(715.11, 375.07);(592.99, 430.64);(709.3, 371.31);(593.21, 422.53);(671.6, 375.01);(626.59, 398.51);(740.98, 475.72);(681.09, 503.27);(693.55, 555.69);(691.92, 545.18);(683.34, 563.16);(689.64, 545.71);(719.03, 595.7);(704.53, 576.74)
1.38;videos/cuts_test/50wtf1.mp4;fall;(576.48, 229.59);(578.4, 220.54);(580.31, 221.06);(581.85, 221.63);(569.65, 218.95);(565.51, 218.45);(561.15, 218.04);(578.42, 226.59);(548.55, 221.26);(577.29, 239.9);(566.59, 240.75);(606.14, 271.83);(513.32, 296.34);(655.55, 329.02);(531.93, 376.65);(700.47, 370.92);(575.54, 437.33);(717.93, 382.91);(584.98, 457.4);(714.79, 383.18);(592.76, 452.01);(708.71, 380.11);(592.79, 444.2);(670.11, 387.06);(626.62, 418.03);(752.98, 486.57);(695.56, 534.91);(718.46, 549.26);(697.18, 545.1);(703.97, 548.51);(692.13, 540.03);(733.41, 586.98);(713.48, 572.46)
1.42;videos/cuts_test/50wtf1.mp4;fall;(563.62, 254.4);(564.43, 245.16);(565.89, 245.35);(567.21, 245.67);(556.14, 244.27);(551.76, 243.48);(547.24, 243.05);(561.79, 250.69);(534.11, 247.02);(563.76, 263.76);(554.34, 264.87);(590.82, 295.26);(501.11, 326.3);(645.15, 348.58);(523.45, 406.97);(693.5, 387.16);(572.7, 463.49);(712.63, 398.59);(584.92, 483.16);(711.02, 398.92);(592.28, 478.53);(703.61, 395.81);(591.17, 470.39);(668.33, 406.65);(626.73, 443.07);(758.06, 493.58);(694.7, 546.25);(711.02, 486.8);(687.22, 505.46);(697.49, 474.76);(680.21, 491.82);(721.02, 511.53);(690.93, 516.22)
1.46;videos/cuts_test/50wtf1.mp4;fall;(548.48, 288.39);(549.09, 279.85);(550.72, 279.79);(552.19, 279.72);(540.76, 279.14);(536.39, 278.56);(531.85, 277.96);(546.93, 283.66);(517.64, 280.66);(549.17, 298.15);(539.32, 298.99);(575.03, 322.63);(487.99, 360.73);(632.13, 368.8);(515.2, 437.07);(682.7, 402.55);(571.12, 493.66);(704.62, 411.74);(583.23, 515.39);(703.39, 412.6);(591.72, 508.8);(694.25, 410.7);(589.96, 500.44);(665.89, 427.99);(626.64, 467.38);(762.79, 502.36);(704.06, 570.89);(702.58, 510.1);(682.38, 510.58);(677.47, 502.37);(666.73, 514.62);(694.97, 542.69);(681.83, 540.95)
1.5;videos/cuts_test/50wtf1.mp4;fall;(526.69, 319.52);(528.38, 310.19);(530.78, 310.41);(532.93, 310.66);(518.21, 309.01);(513.43, 308.5);(508.98, 307.96);(530.6, 316.31);(498.14, 313.44);(528.24, 330.24);(517.23, 330.65);(563.08, 354.05);(475.75, 398.79);(620.66, 401.27);(509.51, 470.45);(672.44, 426.82);(570.05, 525.63);(693.04, 436.57);(582.72, 546.99);(693.13, 435.17);(591.41, 540.28);(683.84, 433.28);(589.39, 532.43);(658.48, 451.33);(623.12, 496.37);(754.0, 509.04);(697.96, 593.05);(702.93, 511.91);(679.52, 522.79);(678.28, 520.09);(667.6, 522.32);(703.31, 552.44);(697.61, 538.77)
1.54;videos/cuts_test/50wtf1.mp4;fall;(507.75, 357.48);(511.73, 349.35);(514.53, 349.94);(517.05, 350.41);(499.91, 347.48);(494.57, 346.94);(489.46, 346.62);(515.34, 355.76);(480.24, 353.06);(509.96, 369.83);(495.28, 369.46);(550.17, 390.92);(462.84, 444.74);(613.25, 439.1);(505.61, 519.83);(673.87, 462.12);(570.6, 564.46);(692.15, 471.55);(583.89, 583.52);(691.29, 470.46);(592.19, 574.13);(681.67, 468.57);(589.8, 566.58);(652.39, 477.71);(620.74, 531.68);(747.86, 525.5);(701.69, 608.87);(717.93, 519.27);(693.75, 543.92);(701.67, 520.07);(683.4, 530.5);(728.41, 536.76);(714.04, 544.52)
